Team,tag_list,network_list
Buffalo Bills,"Orchard Park, New York, Ralph Wilson Stadium, Rex Ryan, American Football Conference, East, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Miami Dolphins,"Miami Gardens, Florida, New Miami Stadium, Adam Gase, American Football Conference, East, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
New England Patriots,"Foxborough, Massachusetts, Gillette Stadium, Bill Belichick, American Football Conference, East, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
New York Jets,"East Rutherford, New Jersey, MetLife Stadium, Todd Bowles, American Football Conference, East, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Baltimore Ravens,"Baltimore, Maryland, M&T Bank Stadium, John Harbaugh, American Football Conference, North, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Cincinnati Bengals,"Cincinnati, Ohio, Paul Brown Stadium, Marvin Lewis, American Football Conference, North, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Cleveland Browns,"Cleveland, Ohio, FirstEnergy Stadium, Hue Jackson, American Football Conference, North, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Pittsburgh Steelers,"Pittsburgh, Pennsylvania, Heinz Field, Mike Tomlin, American Football Conference, North, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Houston Texans,"Houston, Texas, NRG Stadium, Bill O'Brien, American Football Conference, South, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Indianapolis Colts,"Indianapolis, Indiana, Lucas Oil Stadium, Chuck Pagano, American Football Conference, South, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
